id,id_etiqueta,codigo,nombre_visible,prioridad,descripcion,activa,id_subetiqueta_padre,nivel
1,1,MUY_ALTA_FUENTE_DE_PROTEINA,Muy alta fuente de proteína,1,Muy alta fuente de proteína,t,,1
2,1,ALTA_FUENTE_DE_PROTEINA,Alta fuente de proteína,2,Alta fuente de proteína,t,,1
3,1,MEDIA_FUENTE_DE_PROTEINA,Media fuente de proteína,3,Media fuente de proteína,t,,1
4,1,BAJA_FUENTE_DE_PROTEINA,Baja fuente de proteína,4,Baja fuente de proteína,t,,1
5,2,ALTA_FUENTE_DE_FIBRA,Alta fuente de fibra,1,Alta fuente de fibra,t,,1
6,2,MEDIA_FUENTE_DE_FIBRA,Media fuente de fibra,2,Media fuente de fibra,t,,1
7,2,BAJA_FUENTE_DE_FIBRA,Baja fuente de fibra,3,Baja fuente de fibra,t,,1
8,3,ALTA_FUENTE_DE_CALCIO,Alta fuente de calcio,1,Alta fuente de calcio,t,,1
9,3,MEDIA_FUENTE_DE_CALCIO,Media fuente de calcio,2,Media fuente de calcio,t,,1
10,3,BAJA_FUENTE_DE_CALCIO,Baja fuente de calcio,3,Baja fuente de calcio,t,,1
11,4,ALTA_FUENTE_DE_HIERRO,Alta fuente de hierro,1,Alta fuente de hierro,t,,1
12,4,MEDIA_FUENTE_DE_HIERRO,Media fuente de hierro,2,Media fuente de hierro,t,,1
13,4,BAJA_FUENTE_DE_HIERRO,Baja fuente de hierro,3,Baja fuente de hierro,t,,1
14,5,MUY_ALTO_EN_SODIO,Muy alto en sodio,1,Muy alto en sodio,t,,1
15,5,ALTO_EN_SODIO,Alto en sodio,2,Alto en sodio,t,,1
16,5,MODERADO_EN_SODIO,Moderado en sodio,3,Moderado en sodio,t,,1
17,5,BAJO_EN_SODIO,Bajo en sodio,4,Bajo en sodio,t,,1
18,6,ALTAMENTE_ANTIINFLAMATORIO,Altamente antiinflamatorio,1,Altamente antiinflamatorio,t,,1
19,6,LIGERAMENTE_ANTIINFLAMATORIO,Ligeramente antiinflamatorio,2,Ligeramente antiinflamatorio,t,,1
20,6,NEUTRO,Neutro,3,Neutro,t,,1
21,6,PROINFLAMATORIO,Proinflamatorio,4,Proinflamatorio,t,,1
22,7,MUY_ALTO_EN_GRASAS,Muy alto en grasas,1,Muy alto en grasas,t,,1
23,7,ALTO_EN_GRASAS,Alto en grasas,2,Alto en grasas,t,,1
24,7,MODERADO_EN_GRASAS,Moderado en grasas,3,Moderado en grasas,t,,1
25,7,BAJO_EN_GRASAS,Bajo en grasas,4,Bajo en grasas,t,,1
26,8,ALTO_RIESGO_DE_RETENCION_DE_LIQUIDOS,Alto riesgo de retención de líquidos,1,Alto riesgo de retención de líquidos,t,,1
27,8,RIESGO_MODERADO_DE_RETENCION,Riesgo moderado de retención,2,Riesgo moderado de retención,t,,1
28,8,EQUILIBRIO_DE_LIQUIDOS_IDEAL,Equilibrio de líquidos ideal,3,Equilibrio de líquidos ideal,t,,1
29,9,ALTA_FUENTE_DE_MAGNESIO,Alta fuente de magnesio,1,Alta fuente de magnesio,t,,1
30,9,MEDIA_FUENTE_DE_MAGNESIO,Media fuente de magnesio,2,Media fuente de magnesio,t,,1
31,9,BAJA_FUENTE_DE_MAGNESIO,Baja fuente de magnesio,3,Baja fuente de magnesio,t,,1
32,10,ALTA_FUENTE_DE_OMEGA_3,Alta fuente de Omega 3,1,Alta fuente de Omega 3,t,,1
33,10,LIGERA_FUENTE_DE_OMEGA_3,Ligera fuente de Omega 3,2,Ligera fuente de Omega 3,t,,1
34,10,SIN_APORTE_DE_OMEGA_3,Sin aporte de Omega 3,3,Sin aporte de Omega 3,t,,1
35,11,ALERTA_ALTO_EN_GRASAS_TRANS,Alerta: Alto en grasas trans,1,Alerta: Alto en grasas trans,t,,1
36,11,CONTIENE_GRASAS_TRANS,Contiene grasas trans,2,Contiene grasas trans,t,,1
37,11,LIBRE_DE_GRASAS_TRANS,Libre de grasas trans,3,Libre de grasas trans,t,,1
38,12,ALTO_PODER_ANTIOXIDANTE,Alto poder antioxidante,1,Alto poder antioxidante,t,,1
39,12,MEDIO_PODER_ANTIOXIDANTE,Medio poder antioxidante,2,Medio poder antioxidante,t,,1
40,12,BAJO_PODER_ANTIOXIDANTE,Bajo poder antioxidante,3,Bajo poder antioxidante,t,,1
41,13,PROBIOTICO_ACTIVO,Probiótico activo,1,Probiótico activo,t,,1
42,13,SIN_PROBIOTICOS,Sin probióticos,2,Sin probióticos,t,,1
