id,id_etiqueta,codigo,nombre_visible,prioridad,descripcion,activa
1,1,MUY_ALTA_FUENTE_DE_PROTEINA,Muy alta fuente de proteína,1,Muy alta fuente de proteína,t
2,1,ALTA_FUENTE_DE_PROTEINA,Alta fuente de proteína,2,Alta fuente de proteína,t
3,1,MEDIA_FUENTE_DE_PROTEINA,Media fuente de proteína,3,Media fuente de proteína,t
4,1,BAJA_FUENTE_DE_PROTEINA,Baja fuente de proteína,4,Baja fuente de proteína,t
5,2,ALTA_FUENTE_DE_FIBRA,Alta fuente de fibra,1,Alta fuente de fibra,t
6,2,MEDIA_FUENTE_DE_FIBRA,Media fuente de fibra,2,Media fuente de fibra,t
7,2,BAJA_FUENTE_DE_FIBRA,Baja fuente de fibra,3,Baja fuente de fibra,t
8,3,ALTA_FUENTE_DE_CALCIO,Alta fuente de calcio,1,Alta fuente de calcio,t
9,3,MEDIA_FUENTE_DE_CALCIO,Media fuente de calcio,2,Media fuente de calcio,t
10,3,BAJA_FUENTE_DE_CALCIO,Baja fuente de calcio,3,Baja fuente de calcio,t
11,4,ALTA_FUENTE_DE_HIERRO,Alta fuente de hierro,1,Alta fuente de hierro,t
12,4,MEDIA_FUENTE_DE_HIERRO,Media fuente de hierro,2,Media fuente de hierro,t
13,4,BAJA_FUENTE_DE_HIERRO,Baja fuente de hierro,3,Baja fuente de hierro,t
14,5,MUY_ALTO_EN_SODIO,Muy alto en sodio,1,Muy alto en sodio,t
15,5,ALTO_EN_SODIO,Alto en sodio,2,Alto en sodio,t
16,5,MODERADO_EN_SODIO,Moderado en sodio,3,Moderado en sodio,t
17,5,BAJO_EN_SODIO,Bajo en sodio,4,Bajo en sodio,t
18,6,ALTAMENTE_ANTIINFLAMATORIO,Altamente antiinflamatorio,1,Altamente antiinflamatorio,t
19,6,LIGERAMENTE_ANTIINFLAMATORIO,Ligeramente antiinflamatorio,2,Ligeramente antiinflamatorio,t
20,6,NEUTRO,Neutro,3,Neutro,t
21,6,PROINFLAMATORIO,Proinflamatorio,4,Proinflamatorio,t
22,7,MUY_ALTO_EN_GRASAS,Muy alto en grasas,1,Muy alto en grasas,t
23,7,ALTO_EN_GRASAS,Alto en grasas,2,Alto en grasas,t
24,7,MODERADO_EN_GRASAS,Moderado en grasas,3,Moderado en grasas,t
25,7,BAJO_EN_GRASAS,Bajo en grasas,4,Bajo en grasas,t
26,8,ALTO_RIESGO_DE_RETENCION_DE_LIQUIDOS,Alto riesgo de retención de líquidos,1,Alto riesgo de retención de líquidos,t
27,8,RIESGO_MODERADO_DE_RETENCION,Riesgo moderado de retención,2,Riesgo moderado de retención,t
28,8,EQUILIBRIO_DE_LIQUIDOS_IDEAL,Equilibrio de líquidos ideal,3,Equilibrio de líquidos ideal,t
29,9,ALTA_FUENTE_DE_MAGNESIO,Alta fuente de magnesio,1,Alta fuente de magnesio,t
30,9,MEDIA_FUENTE_DE_MAGNESIO,Media fuente de magnesio,2,Media fuente de magnesio,t
31,9,BAJA_FUENTE_DE_MAGNESIO,Baja fuente de magnesio,3,Baja fuente de magnesio,t
32,10,ALTA_FUENTE_DE_OMEGA_3,Alta fuente de Omega 3,1,Alta fuente de Omega 3,t
33,10,LIGERA_FUENTE_DE_OMEGA_3,Ligera fuente de Omega 3,2,Ligera fuente de Omega 3,t
34,10,SIN_APORTE_DE_OMEGA_3,Sin aporte de Omega 3,3,Sin aporte de Omega 3,t
35,11,ALERTA_ALTO_EN_GRASAS_TRANS,Alerta: Alto en grasas trans,1,Alerta: Alto en grasas trans,t
36,11,CONTIENE_GRASAS_TRANS,Contiene grasas trans,2,Contiene grasas trans,t
37,11,LIBRE_DE_GRASAS_TRANS,Libre de grasas trans,3,Libre de grasas trans,t
38,12,ALTO_PODER_ANTIOXIDANTE,Alto poder antioxidante,1,Alto poder antioxidante,t
39,12,MEDIO_PODER_ANTIOXIDANTE,Medio poder antioxidante,2,Medio poder antioxidante,t
40,12,BAJO_PODER_ANTIOXIDANTE,Bajo poder antioxidante,3,Bajo poder antioxidante,t
41,13,PROBIOTICO_ACTIVO,Probiótico activo,1,Probiótico activo,t
42,13,SIN_PROBIOTICOS,Sin probióticos,2,Sin probióticos,t
43,14,ALTAMENTE_INFLAMATORIO,Altamente inflamatorio,1,Altamente inflamatorio,t
44,14,ANTIINFLAMATORIO,Antiinflamatorio,2,Antiinflamatorio,t
45,14,MODERADAMENTE_INFLAMATORIO,Moderadamente inflamatorio,3,Moderadamente inflamatorio,t
46,14,POCO_INFLAMATORIO,Poco inflamatorio,4,Poco inflamatorio,t
47,15,NO_IRRITANTE_USO_CONDICIONADO_SII,No irritante (Uso condicionado SII),1,No irritante (Uso condicionado SII),t
48,15,ALTAMENTE_IRRITANTE,Altamente irritante,2,Altamente irritante,t
49,15,MODERADAMENTE_IRRITANTE,Moderadamente irritante,3,Moderadamente irritante,t
50,15,NO_IRRITANTE,No irritante,4,No irritante,t
51,16,SIN_OMEGA_3_PARA_EVALUAR,Sin Omega 3 para evaluar,1,Sin Omega 3 para evaluar,t
52,16,EXCESO_RELATIVO_DE_OMEGA_6,Exceso relativo de Omega 6,2,Exceso relativo de Omega 6,t
53,16,BALANCE_DE_OMEGAS_FAVORABLE,Balance de omegas favorable,3,Balance de omegas favorable,t
